"city","state","city.state"
"","",", "
"Birmingham","AL","Birmingham, AL"
"Mobile","AL","Mobile, AL"
"Montgomery","AL","Montgomery, AL"
"Tuscaloosa","AL","Tuscaloosa, AL"
"Hot Springs","AR","Hot Springs, AR"
"Little Rock","AR","Little Rock, AR"
"Clearwater","FL","Clearwater, FL"
"Dania","FL","Dania, FL"
"Daytona Beach","FL","Daytona Beach, FL"
"Ft. Lauderdale","FL","Ft. Lauderdale, FL"
"Ft. Myers","FL","Ft. Myers, FL"
"Gainesville","FL","Gainesville, FL"
"Gainsville","FL","Gainsville, FL"
"Hallandale","FL","Hallandale, FL"
"Hollywood","FL","Hollywood, FL"
"Jacksonville","FL","Jacksonville, FL"
"Jacksonville Beach","FL","Jacksonville Beach, FL"
"Key West","FL","Key West, FL"
"Miami","FL","Miami, FL"
"Miami Beach","FL","Miami Beach, FL"
"Orlando","FL","Orlando, FL"
"Palm Beach","FL","Palm Beach, FL"
"Pensacola","FL","Pensacola, FL"
"Sarasota","FL","Sarasota, FL"
"St. Petersburg","FL","St. Petersburg, FL"
"Tallahassee","FL","Tallahassee, FL"
"Tampa","FL","Tampa, FL"
"West Palm Beach","FL","West Palm Beach, FL"
"Atlanta","GA","Atlanta, GA"
"Augusta","GA","Augusta, GA"
"Columbus","GA","Columbus, GA"
"Macon","GA","Macon, GA"
"Savannah","GA","Savannah, GA"
"Covington","KY","Covington, KY"
"Lexington","KY","Lexington, KY"
"Louisville","KY","Louisville, KY"
"Baton Rouge","LA","Baton Rouge, LA"
"Lafayette","LA","Lafayette, LA"
"Lake Charles","LA","Lake Charles, LA"
"Metarie","LA","Metarie, LA"
"New Orleans","LA","New Orleans, LA"
"Shreveport","LA","Shreveport, LA"
"Biloxi","MS","Biloxi, MS"
"Jackson","MS","Jackson, MS"
"Chapel Hill","NC","Chapel Hill, NC"
"Charlotte","NC","Charlotte, NC"
"Durham","NC","Durham, NC"
"Fayetteville","NC","Fayetteville, NC"
"Greensboro","NC","Greensboro, NC"
"Raleigh","NC","Raleigh, NC"
"Wilmington","NC","Wilmington, NC"
"Woonsocket","NC","Woonsocket, NC"
"Charleston","SC","Charleston, SC"
"Columbia","SC","Columbia, SC"
"Greenville","SC","Greenville, SC"
"Chattanooga","TN","Chattanooga, TN"
"Jackson","TN","Jackson, TN"
"Knoxville","TN","Knoxville, TN"
"Memphis","TN","Memphis, TN"
"Nashville","TN","Nashville, TN"
"Amarillo","TX","Amarillo, TX"
"Austin","TX","Austin, TX"
"Beaumont","TX","Beaumont, TX"
"Conroe","TX","Conroe, TX"
"Corpus Christi","TX","Corpus Christi, TX"
"Dallas","TX","Dallas, TX"
"El Paso","TX","El Paso, TX"
"Ft. Worth","TX","Ft. Worth, TX"
"Galveston","TX","Galveston, TX"
"Houston","TX","Houston, TX"
"Humble","TX","Humble, TX"
"McAllen","TX","McAllen, TX"
"Midland","TX","Midland, TX"
"Norfolk","TX","Norfolk, TX"
"Richmond","TX","Richmond, TX"
"Roanoke","TX","Roanoke, TX"
"San Antonio","TX","San Antonio, TX"
"Virginia Beach","TX","Virginia Beach, TX"
"Wichita Falls","TX","Wichita Falls, TX"
"Charlottesville","VA","Charlottesville, VA"
"Norfolk","VA","Norfolk, VA"
"Richmond","VA","Richmond, VA"
"Roanoke","VA","Roanoke, VA"
"Virginia Beach","VA","Virginia Beach, VA"
